V1,V2,V3,File,ROTATE_0
LABELS,66.8640060425,Red Wolf,KEN-007-D0001-I000003.jpeg,
LABELS,53.1994285583,Zoo,KEN-007-D0001-I000003.jpeg,
LABELS,51.7303009033,Outdoors,KEN-007-D0001-I000003.jpeg,
LABELS,51.3816223145,Deer,KEN-007-D0001-I000003.jpeg,
LABELS,51.3816223145,Wildlife,KEN-007-D0001-I000003.jpeg,
LABELS,50.8789596558,Countryside,KEN-007-D0001-I000003.jpeg,
LABELS,61.1239624023,Countryside,KEN-007-D0001-I000004.jpeg,
LABELS,61.1239624023,Outdoors,KEN-007-D0001-I000004.jpeg,
LABELS,53.5275382996,Blossom,KEN-007-D0001-I000004.jpeg,
LABELS,53.5275382996,Flora,KEN-007-D0001-I000004.jpeg,
LABELS,53.5275382996,Flower,KEN-007-D0001-I000004.jpeg,
LABELS,53.5275382996,Plant,KEN-007-D0001-I000004.jpeg,
LABELS,52.9637832642,Bush,KEN-007-D0001-I000004.jpeg,
LABELS,52.9637832642,Vegetation,KEN-007-D0001-I000004.jpeg,
LABELS,52.4152450562,Forest,KEN-007-D0001-I000004.jpeg,
LABELS,51.5427246094,Field,KEN-007-D0001-I000004.jpeg,
LABELS,51.5427246094,Grass,KEN-007-D0001-I000004.jpeg,
LABELS,51.5427246094,Grassland,KEN-007-D0001-I000004.jpeg,
LABELS,51.3816375732,Reed,KEN-007-D0001-I000004.jpeg,
LABELS,50.9449539185,Tree,KEN-007-D0001-I000004.jpeg,
LABELS,61.666721344,Countryside,KEN-007-D0001-I000005.jpeg,
LABELS,61.666721344,Outdoors,KEN-007-D0001-I000005.jpeg,
LABELS,53.9447593689,Blossom,KEN-007-D0001-I000005.jpeg,
LABELS,53.9447593689,Flora,KEN-007-D0001-I000005.jpeg,
LABELS,53.9447593689,Flower,KEN-007-D0001-I000005.jpeg,
LABELS,53.9447593689,Plant,KEN-007-D0001-I000005.jpeg,
LABELS,53.4995803833,Forest,KEN-007-D0001-I000005.jpeg,
LABELS,53.4995803833,Vegetation,KEN-007-D0001-I000005.jpeg,
LABELS,52.6809158325,Grass,KEN-007-D0001-I000005.jpeg,
LABELS,52.6809158325,Reed,KEN-007-D0001-I000005.jpeg,
LABELS,51.995098114,Bush,KEN-007-D0001-I000005.jpeg,
LABELS,51.7233772278,Field,KEN-007-D0001-I000005.jpeg,
LABELS,51.7233772278,Grassland,KEN-007-D0001-I000005.jpeg,
LABELS,50.9721946716,Tree,KEN-007-D0001-I000005.jpeg,
LABELS,58.9724006653,Countryside,KEN-007-D0001-I000006.jpeg,
LABELS,58.9724006653,Outdoors,KEN-007-D0001-I000006.jpeg,
LABELS,55.008430481,Forest,KEN-007-D0001-I000006.jpeg,
LABELS,55.008430481,Vegetation,KEN-007-D0001-I000006.jpeg,
